penalty,C,solver,max_iter,Fold,F1 Score
l2,0.1,lbfgs,100,0,0.7125378383815699
l2,0.1,lbfgs,100,1,0.7075759729670192
l2,0.1,lbfgs,100,2,0.7087589366945992
l2,0.1,lbfgs,100,3,0.7170629598584335
l2,0.1,lbfgs,100,4,0.7109510781232122
l2,0.1,lbfgs,200,0,0.7119477169786945
l2,0.1,lbfgs,200,1,0.7084307259751759
l2,0.1,lbfgs,200,2,0.7086885496984883
l2,0.1,lbfgs,200,3,0.7176799149614868
l2,0.1,lbfgs,200,4,0.7106019852223948
l2,0.1,lbfgs,500,0,0.7114874285339996
l2,0.1,lbfgs,500,1,0.7084307259751759
l2,0.1,lbfgs,500,2,0.7083398824928611
l2,0.1,lbfgs,500,3,0.7176799149614868
l2,0.1,lbfgs,500,4,0.7106019852223948
l2,0.1,lbfgs,1000,0,0.7114874285339996
l2,0.1,lbfgs,1000,1,0.7084307259751759
l2,0.1,lbfgs,1000,2,0.7083398824928611
l2,0.1,lbfgs,1000,3,0.7176799149614868
l2,0.1,lbfgs,1000,4,0.7106019852223948
l2,1.0,lbfgs,100,0,0.7141933761888104
l2,1.0,lbfgs,100,1,0.7093012247125992
l2,1.0,lbfgs,100,2,0.7140620374310689
l2,1.0,lbfgs,100,3,0.7141376185164529
l2,1.0,lbfgs,100,4,0.7137799432154306
l2,1.0,lbfgs,200,0,0.7157660828442516
l2,1.0,lbfgs,200,1,0.7113553891921933
l2,1.0,lbfgs,200,2,0.7122091321833794
l2,1.0,lbfgs,200,3,0.7143725880828655
l2,1.0,lbfgs,200,4,0.7127069370624528
l2,1.0,lbfgs,500,0,0.7157660828442516
l2,1.0,lbfgs,500,1,0.7113553891921933
l2,1.0,lbfgs,500,2,0.7122091321833794
l2,1.0,lbfgs,500,3,0.7143725880828655
l2,1.0,lbfgs,500,4,0.7127069370624528
l2,1.0,lbfgs,1000,0,0.7157660828442516
l2,1.0,lbfgs,1000,1,0.7113553891921933
l2,1.0,lbfgs,1000,2,0.7122091321833794
l2,1.0,lbfgs,1000,3,0.7143725880828655
l2,1.0,lbfgs,1000,4,0.7127069370624528
l2,10.0,lbfgs,100,0,0.7142987538604576
l2,10.0,lbfgs,100,1,0.7103224880361281
l2,10.0,lbfgs,100,2,0.7149903690117749
l2,10.0,lbfgs,100,3,0.7117861316781646
l2,10.0,lbfgs,100,4,0.7137503743370444
l2,10.0,lbfgs,200,0,0.7158878248910285
l2,10.0,lbfgs,200,1,0.7106717074598339
l2,10.0,lbfgs,200,2,0.7108188381359561
l2,10.0,lbfgs,200,3,0.7124050118179277
l2,10.0,lbfgs,200,4,0.7125528643784617
l2,10.0,lbfgs,500,0,0.7158878248910285
l2,10.0,lbfgs,500,1,0.7106717074598339
l2,10.0,lbfgs,500,2,0.7112452806531158
l2,10.0,lbfgs,500,3,0.7124050118179277
l2,10.0,lbfgs,500,4,0.7125528643784617
l2,10.0,lbfgs,1000,0,0.7158878248910285
l2,10.0,lbfgs,1000,1,0.7106717074598339
l2,10.0,lbfgs,1000,2,0.7112452806531158
l2,10.0,lbfgs,1000,3,0.7124050118179277
l2,10.0,lbfgs,1000,4,0.7125528643784617
l2,100.0,lbfgs,100,0,0.7141530294128609
l2,100.0,lbfgs,100,1,0.7099732686124225
l2,100.0,lbfgs,100,2,0.71495200872988
l2,100.0,lbfgs,100,3,0.7110156640489321
l2,100.0,lbfgs,100,4,0.713123693707275
l2,100.0,lbfgs,200,0,0.716276804389956
l2,100.0,lbfgs,200,1,0.711216503240808
l2,100.0,lbfgs,200,2,0.7119794610415533
l2,100.0,lbfgs,200,3,0.712595989110929
l2,100.0,lbfgs,200,4,0.7126320042162237
l2,100.0,lbfgs,500,0,0.716276804389956
l2,100.0,lbfgs,500,1,0.711216503240808
l2,100.0,lbfgs,500,2,0.7114386767434789
l2,100.0,lbfgs,500,3,0.712595989110929
l2,100.0,lbfgs,500,4,0.7126320042162237
l2,100.0,lbfgs,1000,0,0.716276804389956
l2,100.0,lbfgs,1000,1,0.711216503240808
l2,100.0,lbfgs,1000,2,0.7114386767434789
l2,100.0,lbfgs,1000,3,0.712595989110929
l2,100.0,lbfgs,1000,4,0.7126320042162237
l2,1000.0,lbfgs,100,0,0.715117542176522
l2,1000.0,lbfgs,100,1,0.7103070431480971
l2,1000.0,lbfgs,100,2,0.7127893529151399
l2,1000.0,lbfgs,100,3,0.712595989110929
l2,1000.0,lbfgs,100,4,0.7145211679973815
l2,1000.0,lbfgs,200,0,0.7164309158264772
l2,1000.0,lbfgs,200,1,0.7114120343696138
l2,1000.0,lbfgs,200,2,0.7113204443798595
l2,1000.0,lbfgs,200,3,0.712595989110929
l2,1000.0,lbfgs,200,4,0.7122843115413493
l2,1000.0,lbfgs,500,0,0.7164309158264772
l2,1000.0,lbfgs,500,1,0.7114120343696138
l2,1000.0,lbfgs,500,2,0.7113204443798595
l2,1000.0,lbfgs,500,3,0.712595989110929
l2,1000.0,lbfgs,500,4,0.7122843115413493
l2,1000.0,lbfgs,1000,0,0.7164309158264772
l2,1000.0,lbfgs,1000,1,0.7114120343696138
l2,1000.0,lbfgs,1000,2,0.7113204443798595
l2,1000.0,lbfgs,1000,3,0.712595989110929
l2,1000.0,lbfgs,1000,4,0.7122843115413493
