n_estimators,max_depth,min_samples_split,min_samples_leaf,precision,recall,fscore,p_train,r_train,f_train
1000,,2,1,0.7046045348766119,0.6788409327769254,0.6801318911975566,1.0,1.0,1.0
2000,,2,1,0.7039772520827555,0.677449173881573,0.6785848499489988,1.0,1.0,1.0
5000,,2,1,0.7045370791362863,0.6770785081408885,0.6781042514058105,1.0,1.0,1.0
10000,,2,1,0.70457690269139,0.6776505386137055,0.6787636938959305,1.0,1.0,1.0
1000,50,2,1,0.6981757899971227,0.6729157385810506,0.6738729182294901,1.0,1.0,1.0
2000,50,2,1,0.7057527621994524,0.6786716317683734,0.6798386620145164,1.0,1.0,1.0
5000,50,2,1,0.7031476217368984,0.6761964146389773,0.6772098523170278,1.0,1.0,1.0
10000,50,2,1,0.7047173293942507,0.6775578721785345,0.6786436786254475,1.0,1.0,1.0
1000,100,2,1,0.7025335064887651,0.6766134135972472,0.6777491955898812,1.0,1.0,1.0
2000,100,2,1,0.7073765331502659,0.6797007408539365,0.6808840284325675,1.0,1.0,1.0
5000,100,2,1,0.7044158615026148,0.6774571898124682,0.6785545492613686,1.0,1.0,1.0
10000,100,2,1,0.7056124228999494,0.6775739040403248,0.6785794160158725,1.0,1.0,1.0
