n_estimators,max_depth,min_samples_split,min_samples_leaf,precision,recall,fscore,p_train,r_train,f_train
1000,10,2,1,0.7015049029309144,0.6690219859360776,0.6688635534849919,0.8904174055274605,0.8539231517401136,0.8618085007388636
2000,10,2,1,0.7049963510389978,0.671891916598844,0.6719082977673257,0.8912421598027684,0.8542996655805224,0.862245974971643
5000,10,2,1,0.7023129917264114,0.6699887299422649,0.6699348301696273,0.8912444869621491,0.8548035327653299,0.8627054061031301
10000,10,2,1,0.704599459772385,0.6712655369775461,0.6711990846204157,0.8915329006220054,0.8549997545853991,0.8629173037950648
1000,10,5,1,0.703150939334318,0.6695253977664092,0.6692666708824968,0.8901069847369587,0.8541830644079546,0.8620092340725423
2000,10,5,1,0.7032115457811541,0.6703371102580493,0.670245443817658,0.8903051325355489,0.8534511158036193,0.8613651947604641
5000,10,5,1,0.7038558027701581,0.6711105054629991,0.671102367015988,0.8903887329145244,0.8538754190432162,0.861761718705039
10000,10,5,1,0.7032115457811541,0.6703371102580493,0.670245443817658,0.8902454085580604,0.8536367555587293,0.8615277728933435
1000,10,10,1,0.7049117339698873,0.6719382498164295,0.6719744082779047,0.8855468461414743,0.8478824051197915,0.8557359646081202
2000,10,10,1,0.704108082163815,0.6709715058102423,0.6709033286039814,0.8859977889873165,0.8487044713831513,0.8565406180336976
5000,10,10,1,0.7063742168459122,0.6731063585547493,0.6732087009515639,0.8859900080500989,0.8487628144961532,0.8565933700366326
10000,10,10,1,0.7059920837328872,0.6721939636970429,0.6721531791868144,0.8857082706730586,0.8485082495630822,0.8563289447816295
1000,10,15,1,0.7009358122998585,0.6687742879863595,0.6686348512065123,0.8795289225962593,0.8416083711008979,0.8493115666791733
2000,10,15,1,0.7047601298643106,0.6714588857787835,0.671413480024524,0.8795888401264047,0.8414227313457882,0.849145279631791
5000,10,15,1,0.7018366131939291,0.6688366530657355,0.6685957732506427,0.8801600152020428,0.8421546232478327,0.8498821326467491
10000,10,15,1,0.703295419006789,0.6702907770404638,0.6701788450125757,0.8802676219853782,0.842403897148424,0.8501241734291329
1000,10,20,1,0.7015845602065442,0.6692616679549006,0.6691445224404903,0.8742929832070221,0.8348781458918039,0.8425236276612176
2000,10,20,1,0.7055626645267459,0.6724256297849707,0.6724845097071352,0.8739572598282206,0.8352547447856485,0.8428457216704528
5000,10,20,1,0.7033726922118344,0.6705304590592868,0.6704597692806473,0.8742888950979872,0.8351592510407085,0.8427871349640205
10000,10,20,1,0.7050172177039469,0.6713198861260268,0.671213653250924,0.874775275925636,0.835747944852061,0.843384438958348
1000,10,2,2,0.70207642427125,0.6692696838857959,0.6690921196254673,0.8884826245672806,0.8516267196077052,0.8594930379800811
2000,10,2,2,0.7060657360665432,0.6724336457158658,0.6724340328591956,0.8892898996380184,0.8524010248230225,0.8602914688082156
5000,10,2,2,0.7025664071657991,0.6695637150530995,0.6693875093290682,0.8891310812737652,0.8522790475645392,0.8601621383935855
