penalty,C,solver,max_iter,Fold,F1 Score
l2,0.1,lbfgs,100,0,0.731273969331108
l2,0.1,lbfgs,100,1,0.7361623495906245
l2,0.1,lbfgs,100,2,0.7277605966891032
l2,0.1,lbfgs,100,3,0.730351747516915
l2,0.1,lbfgs,100,4,0.7262668146649296
l2,0.1,lbfgs,200,0,0.731273969331108
l2,0.1,lbfgs,200,1,0.7361623495906245
l2,0.1,lbfgs,200,2,0.7277605966891032
l2,0.1,lbfgs,200,3,0.730351747516915
l2,0.1,lbfgs,200,4,0.7262668146649296
l2,0.1,lbfgs,500,0,0.731273969331108
l2,0.1,lbfgs,500,1,0.7361623495906245
l2,0.1,lbfgs,500,2,0.7277605966891032
l2,0.1,lbfgs,500,3,0.730351747516915
l2,0.1,lbfgs,500,4,0.7262668146649296
l2,1.0,lbfgs,100,0,0.7794505202068974
l2,1.0,lbfgs,100,1,0.7792366619065675
l2,1.0,lbfgs,100,2,0.7793944103810877
l2,1.0,lbfgs,100,3,0.779887298876573
l2,1.0,lbfgs,100,4,0.7732045962820696
l2,1.0,lbfgs,200,0,0.7794505202068974
l2,1.0,lbfgs,200,1,0.7792366619065675
l2,1.0,lbfgs,200,2,0.7793944103810877
l2,1.0,lbfgs,200,3,0.779887298876573
l2,1.0,lbfgs,200,4,0.7732045962820696
l2,1.0,lbfgs,500,0,0.7794505202068974
l2,1.0,lbfgs,500,1,0.7792366619065675
l2,1.0,lbfgs,500,2,0.7793944103810877
l2,1.0,lbfgs,500,3,0.779887298876573
l2,1.0,lbfgs,500,4,0.7732045962820696
l2,10.0,lbfgs,100,0,0.7732282608571268
l2,10.0,lbfgs,100,1,0.7697176485800665
l2,10.0,lbfgs,100,2,0.7625331042482874
l2,10.0,lbfgs,100,3,0.7714267784464872
l2,10.0,lbfgs,100,4,0.7654006263530582
l2,10.0,lbfgs,200,0,0.7732282608571268
l2,10.0,lbfgs,200,1,0.7697176485800665
l2,10.0,lbfgs,200,2,0.7625331042482874
l2,10.0,lbfgs,200,3,0.7714267784464872
l2,10.0,lbfgs,200,4,0.7654006263530582
l2,10.0,lbfgs,500,0,0.7732282608571268
l2,10.0,lbfgs,500,1,0.7697176485800665
l2,10.0,lbfgs,500,2,0.7625331042482874
l2,10.0,lbfgs,500,3,0.7714267784464872
l2,10.0,lbfgs,500,4,0.7654006263530582
l2,100.0,lbfgs,100,0,0.7528622053386079
l2,100.0,lbfgs,100,1,0.7475602045241845
l2,100.0,lbfgs,100,2,0.7428549893030703
l2,100.0,lbfgs,100,3,0.7526248672261526
l2,100.0,lbfgs,100,4,0.7451090659078525
l2,100.0,lbfgs,200,0,0.7495584017106015
l2,100.0,lbfgs,200,1,0.7483503986992526
l2,100.0,lbfgs,200,2,0.73924246876681
l2,100.0,lbfgs,200,3,0.7511743793965202
l2,100.0,lbfgs,200,4,0.7451090659078525
l2,100.0,lbfgs,500,0,0.7495584017106015
l2,100.0,lbfgs,500,1,0.7483503986992526
l2,100.0,lbfgs,500,2,0.73924246876681
l2,100.0,lbfgs,500,3,0.7511743793965202
l2,100.0,lbfgs,500,4,0.7451090659078525
l2,1000.0,lbfgs,100,0,0.7421864764984294
l2,1000.0,lbfgs,100,1,0.7394901028223015
l2,1000.0,lbfgs,100,2,0.7343688349304373
l2,1000.0,lbfgs,100,3,0.7443690182506011
l2,1000.0,lbfgs,100,4,0.738829320846295
l2,1000.0,lbfgs,200,0,0.7421864764984294
l2,1000.0,lbfgs,200,1,0.7394901028223015
l2,1000.0,lbfgs,200,2,0.7343688349304373
l2,1000.0,lbfgs,200,3,0.7437203946680155
l2,1000.0,lbfgs,200,4,0.7383369819512198
l2,1000.0,lbfgs,500,0,0.7421864764984294
l2,1000.0,lbfgs,500,1,0.7394901028223015
l2,1000.0,lbfgs,500,2,0.7343688349304373
l2,1000.0,lbfgs,500,3,0.7437203946680155
l2,1000.0,lbfgs,500,4,0.7383369819512198
