hidden neurons,optimizer,batch size,epochs,F1 Score,Recall,Precision,learning rate,Fold,Loss,Time
20,SGD,1,10,0.3622709842351939,0.5,0.28403206948388177,0.001,0.0,BCELoss,286.84740376472473
20,SGD,1,10,0.361288945795988,0.5,0.28282659538924154,0.001,1.0,BCELoss,273.3575291633606
20,SGD,1,10,0.3588260497000857,0.5,0.279819579017708,0.001,2.0,BCELoss,278.5441131591797
20,SGD,1,10,0.35951209073400386,0.5,0.280654861343134,0.001,3.0,BCELoss,299.46579217910767
20,SGD,1,10,0.36040175232396626,0.5,0.2817407283661878,0.001,4.0,BCELoss,270.16969656944275
20,SGD,1,10,0.7724274572498666,0.7766319923647406,0.7719247038973824,0.01,0.0,BCELoss,276.2360785007477
20,SGD,1,10,0.7753749554444511,0.7711152255895315,0.7895769923394262,0.01,1.0,BCELoss,280.9013261795044
20,SGD,1,10,0.7801194116691541,0.7802332797318416,0.7800100479313482,0.01,2.0,BCELoss,277.83987832069397
20,SGD,1,10,0.7797175637411076,0.7789660628150727,0.7806732231105468,0.01,3.0,BCELoss,276.946818113327
20,SGD,1,10,0.770462191299029,0.7664197882171164,0.7851213076383857,0.01,4.0,BCELoss,269.2309331893921
20,SGD,1,10,0.7368889783710711,0.7403377333403374,0.7364122885308388,0.1,0.0,BCELoss,264.9326231479645
20,SGD,1,10,0.7448413541451068,0.7440919623790268,0.7458168913032337,0.1,1.0,BCELoss,275.02083373069763
20,SGD,1,10,0.7171625985635219,0.7282720313455484,0.7289925958895185,0.1,2.0,BCELoss,275.9414744377136
20,SGD,1,10,0.740074697961301,0.744246409531063,0.7406015390154655,0.1,3.0,BCELoss,271.3146696090698
20,SGD,1,10,0.7287706463026195,0.7256513732280467,0.7563224446786091,0.1,4.0,BCELoss,267.66348147392273
20,SGD,1,20,0.3622709842351939,0.5,0.28403206948388177,0.001,0.0,BCELoss,529.891806602478
20,SGD,1,20,0.361288945795988,0.5,0.28282659538924154,0.001,1.0,BCELoss,532.3990228176117
20,SGD,1,20,0.3588260497000857,0.5,0.279819579017708,0.001,2.0,BCELoss,537.5765771865845
20,SGD,1,20,0.35951209073400386,0.5,0.280654861343134,0.001,3.0,BCELoss,530.427633523941
20,SGD,1,20,0.36040175232396626,0.5,0.2817407283661878,0.001,4.0,BCELoss,535.7112326622009
