hidden neurons,optimizer,batch size,epochs,F1 Score,Recall,Precision,learning rate,Fold,Loss,Time
20,SGD,1,10,0.6889440117811669,0.6868653912581555,0.7065700180341064,0.001,0.0,BCELoss,276.92060375213623
20,SGD,1,10,0.6823466642900746,0.6814619019492025,0.7104354245175649,0.001,1.0,BCELoss,287.07097816467285
20,SGD,1,10,0.692397690266825,0.6910391139899894,0.7126304764173506,0.001,2.0,BCELoss,254.96520686149597
20,SGD,1,10,0.6886299418376286,0.6874880997715156,0.7119039750368913,0.001,3.0,BCELoss,267.7766942977905
20,SGD,1,10,0.685509023231919,0.6845884718122993,0.7124950758656288,0.001,4.0,BCELoss,265.06743001937866
20,SGD,1,10,0.7195947821142102,0.7203799983308672,0.7190310438785548,0.01,0.0,BCELoss,267.27747893333435
20,SGD,1,10,0.7227862689824178,0.7198031487118906,0.7366072170948699,0.01,1.0,BCELoss,263.95989656448364
20,SGD,1,10,0.7167383113551782,0.714594138563631,0.724804615209407,0.01,2.0,BCELoss,193.31898999214172
20,SGD,1,10,0.7257385678244196,0.7246937674536684,0.7274361911159936,0.01,3.0,BCELoss,181.82980298995972
20,SGD,1,10,0.7120136292757749,0.709488317494831,0.732127992738286,0.01,4.0,BCELoss,183.13341450691223
20,SGD,1,10,0.7108058310688359,0.7179798239587873,0.7142065195724829,0.1,0.0,BCELoss,173.9092311859131
20,SGD,1,10,0.73148289236128,0.7281960788768231,0.7467193686568483,0.1,1.0,BCELoss,174.77934789657593
20,SGD,1,10,0.7347266259747756,0.7328409168119947,0.7392725764563814,0.1,2.0,BCELoss,173.9369716644287
20,SGD,1,10,0.7217478087852747,0.7240700821455772,0.7212869164379703,0.1,3.0,BCELoss,187.95892715454102
20,SGD,1,10,0.716323226543483,0.7136331387828129,0.7321214219204997,0.1,4.0,BCELoss,184.36235094070435
20,SGD,1,20,0.7119847635604794,0.7092154552605314,0.7238341518885159,0.001,0.0,BCELoss,370.32260513305664
20,SGD,1,20,0.7082796544323009,0.7057235676314235,0.7295769507838425,0.001,1.0,BCELoss,365.3735251426697
20,SGD,1,20,0.7127595330463761,0.7104893212239258,0.726309951687998,0.001,2.0,BCELoss,364.61291694641113
20,SGD,1,20,0.7098443408351018,0.7075636718891669,0.7281062825073832,0.001,3.0,BCELoss,370.74710726737976
20,SGD,1,20,0.7048932049253844,0.702780369402049,0.728684470745032,0.001,4.0,BCELoss,370.3472104072571
20,SGD,1,20,0.7254507871855498,0.7261742088048804,0.7249100562840751,0.01,0.0,BCELoss,368.9396743774414
20,SGD,1,20,0.7248368935493021,0.721719410241265,0.74057828149866,0.01,1.0,BCELoss,370.77367210388184
20,SGD,1,20,0.7260875598787262,0.7239693792041311,0.7325772336585183,0.01,2.0,BCELoss,369.27473545074463
20,SGD,1,20,0.72539356797811,0.7237740497950893,0.7288866814208176,0.01,3.0,BCELoss,372.37379360198975
20,SGD,1,20,0.7128256670385194,0.7102726123992458,0.7331735535775936,0.01,4.0,BCELoss,369.71690249443054
20,SGD,1,20,0.7103395452182981,0.7152158627654439,0.7112468653148413,0.1,0.0,BCELoss,373.58647656440735
20,SGD,1,20,0.7262662422828663,0.7231411013676223,0.7411472128027529,0.1,1.0,BCELoss,370.13421750068665
20,SGD,1,20,0.732349653476414,0.7310406993862252,0.7347582950167764,0.1,2.0,BCELoss,375.9513449668884
20,SGD,1,20,0.72941567287512,0.7299844957023175,0.7289830374785502,0.1,3.0,BCELoss,630.9869468212128
20,SGD,1,20,0.6996336449596148,0.6990269297086825,0.7425727581994932,0.1,4.0,BCELoss,626.4821345806122
20,SGD,5,10,0.3741942540930898,0.5050190529012781,0.7246643458433851,0.001,0.0,BCELoss,65.65842509269714
20,SGD,5,10,0.37344117089183876,0.505576923076923,0.7842034581165016,0.001,1.0,BCELoss,65.53034210205078
20,SGD,5,10,0.3596610856183294,0.5003793626707133,0.7799131016042781,0.001,2.0,BCELoss,63.220226526260376
20,SGD,5,10,0.35951209073400386,0.5,0.280654861343134,0.001,3.0,BCELoss,39.433276653289795
20,SGD,5,10,0.3620153758628648,0.5006171677587796,0.6818926600902859,0.001,4.0,BCELoss,37.6305890083313
20,SGD,5,10,0.7164369033767428,0.7140679359807963,0.7231736379022544,0.01,0.0,BCELoss,39.476325035095215
20,SGD,5,10,0.7109540938006516,0.7082819528374755,0.7319474362563284,0.01,1.0,BCELoss,36.469032526016235
20,SGD,5,10,0.7119366188664749,0.7097120240980228,0.7237716041752232,0.01,2.0,BCELoss,38.93320679664612
20,SGD,5,10,0.7149722920741362,0.7125410274543937,0.7275704314228021,0.01,3.0,BCELoss,40.006539821624756
20,SGD,5,10,0.7019406099671059,0.7000341175374695,0.7271591438090927,0.01,4.0,BCELoss,38.79113531112671
20,SGD,5,10,0.724389604557026,0.7247521485537327,0.7240756149153096,0.1,0.0,BCELoss,37.192755699157715
