penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.735389889036514,300.0,30.0
l2,0.1,lbfgs,200,,0.7345384770589058,300.0,30.0
l2,0.1,lbfgs,500,,0.734227440754053,300.0,30.0
l2,1.0,lbfgs,100,,0.737222588305234,300.0,30.0
l2,1.0,lbfgs,200,,0.7396856160112073,300.0,30.0
l2,1.0,lbfgs,500,,0.7393387614022948,300.0,30.0
l2,10.0,lbfgs,100,,0.7379103661861265,300.0,30.0
l2,10.0,lbfgs,200,,0.737813012630566,300.0,30.0
l2,10.0,lbfgs,500,,0.7388871220723771,300.0,30.0
l2,100.0,lbfgs,100,,0.7372869649299035,300.0,30.0
l2,100.0,lbfgs,200,,0.7390239179145652,300.0,30.0
l2,100.0,lbfgs,500,,0.7392679129560316,300.0,30.0
l2,1000.0,lbfgs,100,,0.738137402107478,300.0,30.0
l2,1000.0,lbfgs,200,,0.738574937309403,300.0,30.0
l2,1000.0,lbfgs,500,,0.7395801887689335,300.0,30.0
